SiteCode_corrected,Subregion,Year,Coral,Algae,In_List
Acuario 2,Banco Chinchorro,2023,0.22,0.04,0
Acuario 2,Banco Chinchorro,2023,0.07,0.23,0
Acuario 2,Banco Chinchorro,2023,0.23,0.23,0
Acuario 2,Banco Chinchorro,2023,0.15,0.21,0
Acuario 2,Banco Chinchorro,2023,0.14,0.03,0
Acuario 2,Banco Chinchorro,2023,0.18,0.12,0
CHI01,Banco Chinchorro,2021,0.07,0.33,0
CHI01,Banco Chinchorro,2021,0.12,0.26,0
CHI01,Banco Chinchorro,2021,0.13,0.15,0
CHI01,Banco Chinchorro,2021,0.15,0.19,0
CHI01,Banco Chinchorro,2021,0.19,0.43,0
CHI01,Banco Chinchorro,2021,0.28,0.25,0
CHI02,Banco Chinchorro,2021,0.12,0.52,0
CHI02,Banco Chinchorro,2021,0.01,0.44,0
CHI02,Banco Chinchorro,2021,0.04,0.42,0
CHI02,Banco Chinchorro,2021,0.06,0.55,0
CHI02,Banco Chinchorro,2021,0.03,0.4,0
CHI02,Banco Chinchorro,2021,0.09,0.35,0
CHI07,Banco Chinchorro,2021,0.2,0.19,0
CHI07,Banco Chinchorro,2021,0.17,0.21,0
CHI07,Banco Chinchorro,2021,0.11,0.3,0
CHI07,Banco Chinchorro,2021,0.12,0.27,0
CHI07,Banco Chinchorro,2021,0.07,0.38,0
CHI07,Banco Chinchorro,2021,0.16,0.4,0
Far Star,Banco Chinchorro,2023,0.11,0.11,0
Far Star,Banco Chinchorro,2023,0.06,0.1,0
Far Star,Banco Chinchorro,2023,0.07,0.24,0
Far Star,Banco Chinchorro,2023,0.15,0.28,0
Far Star,Banco Chinchorro,2023,0.08,0.11,0
Far Star,Banco Chinchorro,2023,0.08,0.13,0
MX2080,Banco Chinchorro,2021,0.13,0.29,0
MX2080,Banco Chinchorro,2021,0.24,0.4,0
MX2080,Banco Chinchorro,2021,0.27,0.25,0
MX2080,Banco Chinchorro,2021,0.18,0.15,0
