SiteCode_2021_corrected,Subregion,Year,Herb,Comm
HNTEL005,West Coast Honduras,2021,10,0
HNTEL005,West Coast Honduras,2021,0,0
HNTEL005,West Coast Honduras,2021,125,0
HNTEL005,West Coast Honduras,2021,0,93
HNTEL005,West Coast Honduras,2021,17,0
HNTEL005,West Coast Honduras,2021,268,81
HNTEL005,West Coast Honduras,2021,15,0
HNTEL005,West Coast Honduras,2021,0,0
HNTEL005,West Coast Honduras,2021,0,0
HNTEL005,West Coast Honduras,2021,231,199
HNTEL005,West Coast Honduras,2021,0,0
HNTEL005,West Coast Honduras,2021,0,0
GT009,Guatemala,2021,139,0
GT009,Guatemala,2021,481,213
GT009,Guatemala,2021,114,0
GT009,Guatemala,2021,831,0
GT009,Guatemala,2021,471,41
GT009,Guatemala,2021,390,16
GT009,Guatemala,2021,1095,94
GT009,Guatemala,2021,966,181
GT009,Guatemala,2021,177,0
GT009,Guatemala,2021,527,336
GT009,Guatemala,2021,636,16
GT009,Guatemala,2021,582,12
GT007,Guatemala,2021,144,0
GT007,Guatemala,2021,1226,0
GT007,Guatemala,2021,1296,12
GT007,Guatemala,2021,296,467
GT007,Guatemala,2021,1049,0
GT007,Guatemala,2021,507,0
GT007,Guatemala,2021,282,193
GT007,Guatemala,2021,404,0
GT007,Guatemala,2021,212,15
GT007,Guatemala,2021,353,0
GT007,Guatemala,2021,735,2025
HNTEL007,West Coast Honduras,2021,1589,561
HNTEL007,West Coast Honduras,2021,334,0
HNTEL007,West Coast Honduras,2021,1780,0
HNTEL007,West Coast Honduras,2021,36,0
HNTEL007,West Coast Honduras,2021,39,108
HNTEL007,West Coast Honduras,2021,442,0
HNTEL007,West Coast Honduras,2021,317,0
HNTEL007,West Coast Honduras,2021,59,12
HNTEL007,West Coast Honduras,2021,1440,729
HNTEL007,West Coast Honduras,2021,741,0
HNTEL009,West Coast Honduras,2021,0,0
HNTEL009,West Coast Honduras,2021,703,12
HNTEL009,West Coast Honduras,2021,430,143
HNTEL009,West Coast Honduras,2021,270,216
HNTEL009,West Coast Honduras,2021,1,0
HNTEL009,West Coast Honduras,2021,183,336
HNTEL009,West Coast Honduras,2021,1352,87
HNTEL009,West Coast Honduras,2021,15,0
HNTEL009,West Coast Honduras,2021,133,0
HNTEL009,West Coast Honduras,2021,643,0
HNTEL011,West Coast Honduras,2021,30,0
HNTEL011,West Coast Honduras,2021,128,0
HNTEL011,West Coast Honduras,2021,4,0
HNTEL011,West Coast Honduras,2021,20,336
HNTEL011,West Coast Honduras,2021,1289,87
HNTEL011,West Coast Honduras,2021,524,0
HNTEL011,West Coast Honduras,2021,0,200
HNTEL011,West Coast Honduras,2021,250,108
HNTEL011,West Coast Honduras,2021,160,14
HNTEL011,West Coast Honduras,2021,143,11
HNTEL010,West Coast Honduras,2021,29,14
HNTEL010,West Coast Honduras,2021,30,24
